name,lat,lon,pop
Clay,39.3449643,-97.1688527,8406
Marshall,39.7827091,-96.5212426,10002
Chase,38.2985525,-96.5940642,2700
Cowley,37.2345068,-96.8372468,36204
Wabaunsee,38.9551537,-96.2012619,7051
Lyon,38.4554978,-96.1615888,33510
Pottawatomie,39.3821868,-96.3371126,22691
Dickinson,38.8677353,-97.1579434,19609
Butler,37.7736811,-96.8387616,65803
Chautauqua,37.1542592,-96.2453962,3552
Kay,36.8148423,-97.1437553,45633
Washington,39.7767142,-97.0956108,5629
Morris,38.6876956,-96.6449046,5741
Geary,39.0021553,-96.7680381,37384
Osage,36.6246804,-96.4083854,47987
Riley,39.2912114,-96.7274889,75394
Elk,37.4560259,-96.2446421,2655
Greenwood,37.8786589,-96.2422317,6424
Marion,38.3596474,-97.1027707,12219
